Oscar_Winner_ID,Winner,Award,Oscar_Award_ID,Movie_Name,Year_Ceremony,Year_Film
246,"Art Direction:  James Basevi, William Darling;  Interior Decoration:  Thomas Little",ART DIRECTION (Black-and-White),OWA0034,The Song of Bernadette,1944,1943
247,"Art Direction:  John B. Goodman, Alexander Golitzen;  Interior Decoration:  Russell A. Gausman, Ira S. Webb",ART DIRECTION (Color),OWA0035,Phantom of the Opera,1944,1943
248,Arthur Miller,CINEMATOGRAPHY (Black-and-White),OWA0031,The Song of Bernadette,1944,1943
249,"Hal Mohr, W. Howard Greene",CINEMATOGRAPHY (Color),OWA0032,Phantom of the Opera,1944,1943
250,Michael Curtiz,DIRECTING,OWA0012,Casablanca,1944,1943
251,British Ministry of Information,DOCUMENTARY (Feature),OWA0044,Desert Victory,1944,1943
252,United States Navy,DOCUMENTARY (Short Subject),OWA0037,December 7th,1944,1943
253,George Amy,FILM EDITING,OWA0020,Air Force,1944,1943
254,Alfred Newman,MUSIC (Music Score of a Dramatic or Comedy Picture),OWA0042,The Song of Bernadette,1944,1943
255,Ray Heindorf,MUSIC (Scoring of a Musical Picture),OWA0039,This Is the Army,1944,1943
256,Music by Harry Warren; Lyrics by Mack Gordon,MUSIC (Song),OWA0022,"Hello, Frisco, Hello",1944,1943
257,Warner Bros.,OUTSTANDING MOTION PICTURE,OWA0040,Casablanca,1944,1943
258,"Frederick Quimby, Producer",SHORT SUBJECT (Cartoon),OWA0016,Yankee Doodle Mouse,1944,1943
259,"Grantland Rice, Producer",SHORT SUBJECT (One-reel),OWA0028,Amphibious Fighters,1944,1943
260,"Jerry Bresler and Sam Coslow, Producers",SHORT SUBJECT (Two-reel),OWA0029,Heavenly Music,1944,1943
261,"RKO Radio Studio Sound Department, Stephen Dunn, Sound Director",SOUND RECORDING,OWA0015,This Land Is Mine,1944,1943
262,Photographic Effects by Fred Sersen; Sound Effects by Roger Heman,SPECIAL EFFECTS,OWA0033,Crash Dive,1944,1943
263,William Saroyan,WRITING (Original Motion Picture Story),OWA0043,The Human Comedy,1944,1943
264,Norman Krasna,WRITING (Original Screenplay),OWA0036,Princess O'Rourke,1944,1943
