Movie_Name,Rating,Votes,Meta_Score,PG_Rating,Year,Duration,Director,Movie_ID,Director_ID
Divergent,6.6,482000,48,PG-13,2014,2h 19m,Neil Burger,327,211
Totally Killer,6.5,42000,62,R,2023,1h 46m,Nahnatchka Khan,328,275
Taken,7.8,626000,51,PG-13,2008,1h 30m,Pierre Morel,329,106
Strays,6.3,22000,54,R,2023,1h 33m,Josh Greenbaum,330,276
The Burial,7.1,26000,74,R,2023,2h 6m,Maggie Betts,331,278
Pretty Woman,7.1,348000,51,R,1990,1h 59m,Garry Marshall,332,279
Renfield,6.4,84000,53,R,2023,1h 33m,Chris McKay,333,280
Happiest Season,6.6,46000,69,PG-13,2020,1h 42m,Clea DuVall,334,281
Ghosted,5.8,57000,34,PG-13,2023,1h 56m,Dexter Fletcher,335,282
Mulholland Drive,7.9,377000,86,R,2001,2h 27m,David Lynch,336,277
Drive,7.8,691000,79,R,2011,1h 40m,Nicolas Winding Refn,337,283
The Man Who Invented Christmas,7,18000,60,PG,2017,1h 44m,Bharat Nalluri,338,284
The Lord of the Rings: The Two Towers,8.8,1700000,87,PG-13,2002,2h 59m,Peter Jackson,339,104
Sisu,6.9,64000,70,R,2022,1h 31m,Jalmari Helander,340,285
Superbad,7.6,620000,76,R,2007,1h 53m,Greg Mottola,341,286
Ghostbusters,7.8,438000,71,PG,1984,1h 45m,Ivan Reitman,342,287
"Planes, Trains & Automobiles",7.6,157000,72,R,1987,1h 33m,John Hughes,343,288
Green Lantern,5.5,294000,39,PG-13,2011,1h 54m,Martin Campbell,344,243
Cruella,7.3,258000,59,PG-13,2021,2h 14m,Craig Gillespie,345,142
Harry Potter and the Deathly Hallows: Part 1,7.7,586000,65,PG-13,2010,2h 26m,David Yates,346,161
The Christmas Chronicles: Part Two,6,35000,51,PG,2020,1h 52m,Chris Columbus,347,36
Good Burger 2,5.4,2400,48,TV-PG,2023,1h 30m,Phil Traill,348,289
Where the Crawdads Sing,7.2,112000,43,PG-13,2022,2h 5m,Olivia Newman,349,290
The Abyss,7.5,188000,62,PG-13,1989,2h 20m,James Cameron,350,128
The Godfather Part II,9,1300000,90,R,1974,3h 22m,Francis Ford Coppola,351,85
The Fifth Element,7.6,497000,52,PG-13,1997,2h 6m,Luc Besson,352,168
8-Bit Christmas,6.7,21000,66,PG,2021,1h 37m,Michael Dowse,353,291
Black Adam,6.2,265000,41,PG-13,2022,2h 5m,Jaume Collet-Serra,354,292
