Movie Name,Year Ceremony,Oscar Award,Oscar Winner,Year,Golden Globe Award,GG Winer
Cover Girl,1945,MUSIC (Scoring of a Musical Picture),"Morris Stoloff, Carmen Dragon",0,,
Mouse Trouble,1945,SHORT SUBJECT (Cartoon),"Frederick C. Quimby, Producer",0,,
Who's Who in Animal Land,1945,SHORT SUBJECT (One-reel),"Jerry Fairbanks, Producer",0,,
I Won't Play,1945,SHORT SUBJECT (Two-reel),"Gordon Hollingshead, Producer",0,,
Thirty Seconds over Tokyo,1945,SPECIAL EFFECTS,"Photographic Effects by A. Arnold Gillespie, Donald Jahraus, Warren Newcombe; Sound Effects by Douglas Shearer",0,,
The Lost Weekend,1946,ACTOR,Ray Milland,1946,Actor In A Leading Role,Ray Milland
The Lost Weekend,1946,ACTOR,Ray Milland,1946,Picture,The Lost Weekend
The Lost Weekend,1946,DIRECTING,Billy Wilder,1946,Actor In A Leading Role,Ray Milland
The Lost Weekend,1946,DIRECTING,Billy Wilder,1946,Picture,The Lost Weekend
The Lost Weekend,1946,BEST MOTION PICTURE,Paramount,1946,Actor In A Leading Role,Ray Milland
The Lost Weekend,1946,BEST MOTION PICTURE,Paramount,1946,Picture,The Lost Weekend
The Lost Weekend,1946,WRITING (Screenplay),"Charles Brackett, Billy Wilder",1946,Actor In A Leading Role,Ray Milland
The Lost Weekend,1946,WRITING (Screenplay),"Charles Brackett, Billy Wilder",1946,Picture,The Lost Weekend
A Tree Grows in Brooklyn,1946,ACTOR IN A SUPPORTING ROLE,James Dunn,0,,
Mildred Pierce,1946,ACTRESS,Joan Crawford,0,,
National Velvet,1946,ACTRESS IN A SUPPORTING ROLE,Anne Revere,0,,
National Velvet,1946,FILM EDITING,Robert J. Kern,0,,
Blood on the Sun,1946,ART DIRECTION (Black-and-White),Art Direction:  Wiard Ihnen;  Interior Decoration:  A. Roland Fields,0,,
